timestamp,cpu_percent,mem_percent,mem_used,mem_total,disk_percent,disk_used,disk_total,processes
2026-01-13 23:36:31,1.6,41.7,1690488832,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:35,1.0,41.7,1690484736,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:39,0.5,41.7,1690484736,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:43,2.1,41.7,1690484736,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:47,0.5,41.7,1690484736,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:51,0.0,41.9,1699213312,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:55,0.0,41.9,1699213312,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:36:59,3.8,41.9,1699213312,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:03,10.3,41.9,1699196928,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:07,4.9,41.9,1699360768,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:11,1.6,42.0,1703251968,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:15,1.5,42.0,1703251968,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:19,0.5,42.0,1703251968,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:23,0.0,42.0,1703682048,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:27,0.0,42.0,1703682048,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:31,0.0,42.0,1703682048,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:35,0.5,42.0,1703653376,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:39,0.0,42.0,1703653376,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:43,1.0,42.0,1703653376,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:47,0.0,42.0,1703628800,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:51,0.5,42.0,1703628800,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:55,2.6,42.0,1703903232,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:37:59,0.0,42.0,1703919616,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:03,1.0,41.7,1692774400,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:07,0.0,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:11,1.5,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:15,1.0,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:19,0.0,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:23,0.5,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:27,0.0,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:31,0.5,42.1,1707122688,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:38:35,0.5,42.1,1707122688,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:39,1.5,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:43,0.5,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:47,0.0,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:51,0.5,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:55,0.0,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:38:59,0.0,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:39:03,0.0,42.1,1707106304,4058767360,53.6,12762300416,25130254336,210
2026-01-13 23:39:07,0.0,42.1,1707106304,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:11,0.0,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:15,0.0,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:19,0.0,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:23,0.5,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:27,0.0,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:31,0.5,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:36,0.5,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:40,0.0,42.1,1706930176,4058767360,53.6,12762300416,25130254336,211
2026-01-13 23:39:44,0.0,42.1,1706897408,4058767360,53.6,12762304512,25130254336,211
2026-01-13 23:39:48,1.0,42.1,1706897408,4058767360,53.6,12762304512,25130254336,211
2026-01-13 23:39:52,0.5,42.1,1706897408,4058767360,53.6,12762304512,25130254336,211
2026-01-13 23:39:56,1.0,42.1,1706897408,4058767360,53.6,12762304512,25130254336,211
2026-01-13 23:40:00,0.5,42.1,1706897408,4058767360,53.6,12762304512,25130254336,211
2026-01-13 23:40:04,3.1,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:08,0.0,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:12,0.5,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:16,0.0,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:20,0.0,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:24,0.0,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:28,0.5,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:32,0.5,42.0,1706549248,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:36,12.7,42.1,1707008000,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:40,28.3,42.1,1707008000,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:44,1.5,42.1,1707008000,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:40:48,1.0,42.1,1706991616,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:41:35,0.5,42.1,1706975232,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:41:39,2.6,42.1,1706975232,4058767360,53.6,12762308608,25130254336,211
2026-01-13 23:41:43,0.5,42.1,1706975232,4058767360,53.6,12762308608,25130254336,211
