timestamp,event,filename,size,mtime,mode,uid,gid
2026-01-13 21:02:57,CREATED,test.txt,3,1768309377.739739,33204,1000,1000
2026-01-13 21:06:01,MODIFIED,test.txt,8,1768309560.3632774,33204,1000,1000
